"Wed Jan 31 2024 09:22:31 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Math)"
"Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","9","67","76","24","17","67","84","16","19","64","83","17"
"Female","10","67","77","23","18","67","85","15","17","66","82","18"
"Male","8","67","75","25","17","67","84","16","22","62","84","16"
"American Indian","<","<","<","<","<","<","<","<","<","<","100","0"
"Asian","16","69","85","15","31","62","93","7","31","62","93","7"
"Black","6","50","56","44","8","55","63","37","9","47","56","44"
"Hispanic","4","44","48","53","4","60","64","36","7","58","66","34"
"Native Hawaiian","","","","","<","<","100","0","<","<","100","0"
"White","7","74","81","19","14","75","88","12","16","70","86","14"
"Multiple Races","5","67","71","29","22","65","87","13","25","58","83","17"
"Students with Disabilities","4","31","35","65","2","52","55","45","3","52","55","45"
"Students without Disabilities","10","73","82","18","20","70","90","10","23","67","90","10"
"Economically Disadvantaged","6","47","53","47","9","55","64","36","8","53","61","39"
"Not Economically Disadvantaged","9","71","81","19","20","70","90","10","22","67","89","11"
"English Learners","8","23","31","69","1","48","49","51","4","45","49","51"
"Homeless","","","","","<","<","<","<","<","<","<","<"
"Military Connected","4","70","74","26","16","77","94","6","10","80","90","10"
"Grade 7 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","2","65","67","33","5","74","79","21","8","71","79","21"
"Female","3","68","70","30","7","75","81","19","7","74","81","19"
"Male","2","61","63","37","3","72","76","24","9","68","77","23"
"Asian","7","71","79","21","8","76","84","16","10","79","90","10"
"Black","<","<","<","<","-","65","65","35","-","60","60","40"
"Hispanic","-","45","45","55","-","64","64","36","5","61","66","34"
"Native Hawaiian","","","","","","","","","<","<","100","0"
"White","2","72","74","26","7","79","86","14","8","77","84","16"
