"Wed Jan 31 2024 09:22:37 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Science)"
"Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","9","65","74","26","7","73","79","21","8","68","76","24"
"Female","6","65","70","30","6","72","78","22","7","67","74","26"
"Male","11","66","76","24","7","73","80","20","10","69","78","22"
"American Indian","<","<","100","0","<","<","<","<","<","<","100","0"
"Asian","11","63","74","26","9","78","87","13","8","74","82","18"
"Black","-","56","56","44","-","52","52","48","3","47","50","50"
"Hispanic","3","33","36","64","3","60","63","37","4","43","46","54"
"White","11","74","85","15","8","75","83","17","11","74","85","15"
"Multiple Races","7","80","87","13","6","84","90","10","12","69","81","19"
"Students with Disabilities","15","23","38","63","2","33","35","65","1","46","47","53"
"Students without Disabilities","7","74","81","19","7","79","87","13","10","72","82","18"
"Economically Disadvantaged","2","41","43","57","3","51","54","46","2","44","46","54"
"Not Economically Disadvantaged","10","71","82","18","8","78","86","14","10","74","84","16"
"English Learners","10","5","15","85","-","27","27","73","-","17","17","83"
"Homeless","","","","","","","","","<","<","<","<"
"Military Connected","-","69","69","31","11","84","95","5","<","<","100","0"
"Grade 8 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","9","65","74","26","7","73","79","21","8","68","76","24"
"Female","6","65","70","30","6","72","78","22","7","67","74","26"
"Male","11","66","76","24","7","73","80","20","10","69","78","22"
"American Indian","<","<","100","0","<","<","<","<","<","<","100","0"
"Asian","11","63","74","26","9","78","87","13","8","74","82","18"
"Black","-","56","56","44","-","52","52","48","3","47","50","50"
"Hispanic","3","33","36","64","3","60","63","37","4","43","46","54"
"White","11","74","85","15","8","75","83","17","11","74","85","15"
"Multiple Races","7","80","87","13","6","84","90","10","12","69","81","19"
"Students with Disabilities","15","23","38","63","2","33","35","65","1","46","47","53"
"Students without Disabilities","7","74","81","19","7","79","87","13","10","72","82","18"
"Economically Disadvantaged","2","41","43","57","3","51","54","46","2","44","46","54"
"Not Economically Disadvantaged","10","71","82","18","8","78","86","14","10","74","84","16"
"English Learners","10","5","15","85","-","27","27","73","-","17","17","83"
"Homeless","","","","","","","","","<","<","<","<"
"Military Connected","-","69","69","31","11","84","95","5","<","<","100","0"
"Grade 5 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Biology Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Chemistry Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Earth Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
