"Wed Jan 31 2024 09:22:23 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Reading)"
"English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","19","66","85","15","19","68","87","13","15","68","82","18"
"Female","21","63","84","16","20","68","88","12","14","73","87","13"
"Male","17","68","85","15","17","69","86","14","15","63","78","22"
"American Indian","<","<","100","0","<","<","100","0","<","<","100","0"
"Asian","17","70","87","13","20","72","92","8","15","74","90","10"
"Black","9","60","69","31","10","59","68","32","7","53","60","40"
"Hispanic","4","64","67","33","6","67","72","28","7","58","65","35"
"Native Hawaiian","","","","","<","<","100","0","<","<","100","0"
"White","25","65","90","10","22","70","91","9","17","68","86","14"
"Multiple Races","28","53","80","20","30","59","89","11","17","70","87","13"
"Students with Disabilities","6","40","46","54","4","53","57","43","2","53","55","45"
"Students without Disabilities","21","70","92","8","22","71","93","7","18","71","88","12"
"Economically Disadvantaged","4","60","64","36","6","63","68","32","5","54","59","41"
"Not Economically Disadvantaged","22","67","89","11","22","70","92","8","17","71","88","12"
"English Learners","4","29","33","67","3","26","29","71","-","28","28","73"
"Homeless","","","","","<","<","<","<","<","<","<","<"
"Military Connected","9","84","94","6","42","58","100","0","20","75","95","5"
"Grade 7 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","18","68","85","15","20","66","87","13","14","69","83","18"
"Female","21","63","84","16","20","69","89","11","14","75","88","12"
"Male","14","73","86","14","21","64","85","15","13","63","77","23"
"Asian","14","75","89","11","22","70","92","8","17","71","88","12"
"Black","6","65","71","29","11","62","73","27","11","63","74","26"
"Hispanic","2","70","72","28","4","65","69","31","8","60","68","32"
"Native Hawaiian","","","","","","","","","<","<","100","0"
"White","25","64","89","11","25","66","92","8","12","71","84","16"
"Multiple Races","24","57","81","19","24","60","84","16","19","76","95","5"
"Students with Disabilities","-","47","47","53","4","56","60","40","3","53","56","44"
"Students without Disabilities","21","71","92","8","24","69","93","7","16","73","89","11"
"Economically Disadvantaged","5","64","69","31","5","63","68","32","5","55","60","40"
"Not Economically Disadvantaged","20","69","89","11","24","67","92","8","16","73","89","11"
"English Learners","-","38","38","63","3","26","29","71","-","26","26","74"
"Military Connected","6","94","100","0","50","50","100","0","9","82","91","9"
"Grade 8 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","21","63","84","16","17","70","87","13","16","66","82","18"
"Female","21","63","84","16","21","67","87","13","14","71","86","14"
"Male","21","63","83","17","13","75","88","13","17","62","79","21"
"American Indian","<","<","100","0","<","<","100","0","<","<","100","0"
"Asian","22","64","85","15","19","73","92","8","13","78","91","9"
"Black","11","56","67","33","8","54","62","38","5","47","53","47"
"Hispanic","5","57","62","38","7","68","75","25","7","55","63","38"
"White","25","67","92","8","18","73","91","9","22","65","88","13"
"Multiple Races","32","47","79","21","35","58","94","6","15","65","81","19"
"Students with Disabilities","13","33","46","54","3","50","53","47","1","53","54","46"
"Students without Disabilities","22","69","91","9","19","74","93","7","19","69","88","12"
"Economically Disadvantaged","4","55","58","42","6","63","69","31","4","54","58","42"
"Not Economically Disadvantaged","25","65","90","10","20","72","92","8","19","69","88","12"
"English Learners","11","16","26","74","3","27","30","70","-","29","29","71"
"Homeless","","","","","","","","","<","<","<","<"
"Military Connected","13","73","87","13","37","63","100","0","<","<","100","0"
"Grade 3 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 4 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 5 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 6 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"EOC English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
