subgroup,pass_percentage,pyramid,subject,middle_school
All Students,83,Chantilly,Math,Franklin
Female,82,Chantilly,Math,Franklin
Male,84,Chantilly,Math,Franklin
American Indian,100,Chantilly,Math,Franklin
Asian,93,Chantilly,Math,Franklin
Black,56,Chantilly,Math,Franklin
Hispanic,66,Chantilly,Math,Franklin
Native Hawaiian,100,Chantilly,Math,Franklin
White,86,Chantilly,Math,Franklin
Multiple Races,83,Chantilly,Math,Franklin
Students with Disabilities,55,Chantilly,Math,Franklin
Students without Disabilities,90,Chantilly,Math,Franklin
Economically Disadvantaged,61,Chantilly,Math,Franklin
Not Economically Disadvantaged,89,Chantilly,Math,Franklin
English Learners,49,Chantilly,Math,Franklin
Homeless,<,Chantilly,Math,Franklin
Military Connected,90,Chantilly,Math,Franklin
