subgroup,pass_percentage,pyramid,subject,middle_school
All Students,82,Chantilly,English Reading,Franklin
Female,87,Chantilly,English Reading,Franklin
Male,78,Chantilly,English Reading,Franklin
American Indian,100,Chantilly,English Reading,Franklin
Asian,90,Chantilly,English Reading,Franklin
Black,60,Chantilly,English Reading,Franklin
Hispanic,65,Chantilly,English Reading,Franklin
Native Hawaiian,100,Chantilly,English Reading,Franklin
White,86,Chantilly,English Reading,Franklin
Multiple Races,87,Chantilly,English Reading,Franklin
Students with Disabilities,55,Chantilly,English Reading,Franklin
Students without Disabilities,88,Chantilly,English Reading,Franklin
Economically Disadvantaged,59,Chantilly,English Reading,Franklin
Not Economically Disadvantaged,88,Chantilly,English Reading,Franklin
English Learners,28,Chantilly,English Reading,Franklin
Homeless,<,Chantilly,English Reading,Franklin
Military Connected,95,Chantilly,English Reading,Franklin
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            ",,Chantilly,English Reading,Franklin
