subgroup,pass_percentage,pyramid,subject,middle_school
All Students,91,Chantilly,Math,Rocky Run
Female,93,Chantilly,Math,Rocky Run
Male,90,Chantilly,Math,Rocky Run
American Indian,100,Chantilly,Math,Rocky Run
Asian,98,Chantilly,Math,Rocky Run
Black,90,Chantilly,Math,Rocky Run
Hispanic,76,Chantilly,Math,Rocky Run
Native Hawaiian,100,Chantilly,Math,Rocky Run
White,90,Chantilly,Math,Rocky Run
Multiple Races,93,Chantilly,Math,Rocky Run
Students with Disabilities,58,Chantilly,Math,Rocky Run
Students without Disabilities,95,Chantilly,Math,Rocky Run
Economically Disadvantaged,75,Chantilly,Math,Rocky Run
Not Economically Disadvantaged,95,Chantilly,Math,Rocky Run
English Learners,41,Chantilly,Math,Rocky Run
Homeless,100,Chantilly,Math,Rocky Run
Military Connected,100,Chantilly,Math,Rocky Run
