subgroup,pass_percentage,pyramid,subject,middle_school
All Students,89,Chantilly,Science,Rocky Run
Female,90,Chantilly,Science,Rocky Run
Male,89,Chantilly,Science,Rocky Run
American Indian,100,Chantilly,Science,Rocky Run
Asian,95,Chantilly,Science,Rocky Run
Black,83,Chantilly,Science,Rocky Run
Hispanic,60,Chantilly,Science,Rocky Run
White,95,Chantilly,Science,Rocky Run
Multiple Races,93,Chantilly,Science,Rocky Run
Students with Disabilities,59,Chantilly,Science,Rocky Run
Students without Disabilities,92,Chantilly,Science,Rocky Run
Economically Disadvantaged,67,Chantilly,Science,Rocky Run
Not Economically Disadvantaged,94,Chantilly,Science,Rocky Run
English Learners,28,Chantilly,Science,Rocky Run
Homeless,100,Chantilly,Science,Rocky Run
Military Connected,100,Chantilly,Science,Rocky Run
