"Wed Jan 31 2024 09:59:22 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Math)"
"Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","30","55","85","15","44","48","92","8","38","54","91","9"
"Female","28","57","85","15","43","50","93","7","37","56","93","7"
"Male","32","53","86","14","45","46","91","9","38","52","90","10"
"American Indian","<","<","100","0","<","<","100","0","<","<","100","0"
"Asian","42","54","96","4","61","37","98","2","55","43","98","2"
"Black","14","57","71","29","35","47","82","18","20","70","90","10"
"Hispanic","14","43","57","43","19","57","77","23","13","62","76","24"
"Native Hawaiian","<","<","<","<","<","<","<","<","<","<","100","0"
"White","17","60","78","22","35","56","91","9","30","60","90","10"
"Multiple Races","33","53","85","15","33","60","92","8","31","61","93","7"
"Students with Disabilities","13","30","43","57","10","49","59","41","10","48","58","42"
"Students without Disabilities","31","56","88","12","47","48","95","5","41","54","95","5"
"Economically Disadvantaged","10","51","62","38","26","54","79","21","20","55","75","25"
"Not Economically Disadvantaged","34","55","89","11","48","46","95","5","42","54","95","5"
"English Learners","7","11","18","82","4","38","42","58","3","38","41","59"
"Homeless","<","<","<","<","<","<","<","<","<","<","100","0"
"Military Connected","8","75","83","17","41","50","91","9","15","85","100","0"
"Grade 7 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","2","50","52","48","4","69","73","27","6","65","71","29"
"Female","-","53","53","47","2","76","78","22","4","69","73","27"
"Male","4","48","52","48","6","63","69","31","8","61","69","31"
"Asian","7","72","79","21","11","79","89","11","19","65","85","15"
"Black","<","<","<","<","-","62","62","38","10","60","70","30"
"Hispanic","-","21","21","79","-","58","58","42","-","67","67","33"
"White","-","52","52","48","5","70","75","25","4","65","69","31"
"Multiple Races","<","<","<","<","-","85","85","15","<","<","<","<"
"Students with Disabilities","6","44","50","50","-","50","50","50","2","34","37","63"
"Students without Disabilities","1","52","53","47","5","73","78","22","8","76","83","17"
"Economically Disadvantaged","-","39","39","61","4","53","57","43","-","57","57","43"
"Not Economically Disadvantaged","3","55","57","43","4","76","81","19","10","69","78","22"
"English Learners","9","9","18","82","4","37","41","59","-","32","32","68"
"Military Connected","<","<","<","<","<","<","<","<","<","<","100","0"
"Grade 8 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","10","64","75","25","36","55","91","9","22","66","88","12"
"Female","14","64","77","23","36","56","92","8","27","66","93","7"
"Male","7","65","72","28","36","53","90","10","17","67","84","16"
"Asian","22","70","92","8","42","53","95","5","33","61","94","6"
"Black","<","<","<","<","50","40","90","10","6","85","91","9"
"Hispanic","-","38","38","62","20","60","80","20","5","64","70","30"
"Native Hawaiian","<","<","100","0","<","<","<","<","<","<","100","0"
"White","7","70","77","23","36","57","93","7","26","65","92","8"
"Multiple Races","<","<","<","<","47","47","93","7","32","63","95","5"
"Students with Disabilities","5","14","19","81","10","45","55","45","10","58","68","33"
"Students without Disabilities","11","71","82","18","40","56","96","4","24","68","92","8"
"Economically Disadvantaged","2","45","48","52","17","63","81","19","10","61","71","29"
"Not Economically Disadvantaged","13","70","83","17","41","53","93","7","26","68","94","6"
"English Learners","7","7","13","87","-","38","38","63","-","39","39","61"
"Homeless","","","","","<","<","<","<","<","<","100","0"
"Military Connected","<","<","<","<","38","54","92","8","<","<","100","0"
"Algebra I Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","41","53","94","6","56","42","98","2","51","48","100","0"
"Female","39","55","94","6","58","40","98","2","50","49","99","1"
"Male","42","52","94","6","54","44","98","2","53","47","100","0"
"American Indian","<","<","100","0","<","<","100","0","<","<","100","0"
"Asian","48","50","98","2","70","30","99","1","59","41","99","1"
"Black","25","63","88","13","30","50","80","20","57","43","100","0"
"Hispanic","35","55","90","10","28","72","100","0","50","50","100","0"
"White","28","58","86","14","42","54","96","4","43","57","100","0"
"Multiple Races","46","54","100","0","18","73","91","9","39","61","100","0"
"Students with Disabilities","<","<","<","<","30","70","100","0","40","60","100","0"
"Students without Disabilities","41","53","94","6","57","41","98","2","52","48","100","0"
"Economically Disadvantaged","20","66","86","14","48","48","96","4","50","50","100","0"
"Not Economically Disadvantaged","43","52","95","5","57","41","98","2","52","48","100","0"
"English Learners","<","<","<","<","<","<","100","0","<","<","100","0"
"Homeless","","","","","","","","","<","<","100","0"
"Military Connected","<","<","100","0","<","<","100","0","<","<","100","0"
"Geometry Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","46","54","100","0","70","30","100","0","69","31","100","0"
"Female","47","53","100","0","69","31","100","0","64","36","100","0"
"Male","46","54","100","0","70","30","100","0","73","27","100","0"
"American Indian","","","","","<","<","100","0","","","",""
"Asian","46","54","100","0","73","27","100","0","73","27","100","0"
"Black","<","<","100","0","<","<","100","0","<","<","100","0"
"Hispanic","<","<","100","0","<","<","100","0","","","",""
"White","50","50","100","0","63","38","100","0","63","38","100","0"
