"Wed Jan 31 2024 09:59:09 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Reading)"
"English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","35","57","92","8","32","61","93","7","33","59","92","8"
"Female","36","56","93","7","33","61","95","5","35","58","93","7"
"Male","33","57","91","9","31","60","91","9","31","60","91","9"
"American Indian","<","<","100","0","<","<","100","0","<","<","100","0"
"Asian","44","53","97","3","40","58","97","3","39","58","97","3"
"Black","18","71","89","11","21","65","85","15","32","57","89","11"
"Hispanic","16","55","71","29","17","60","76","24","11","63","74","26"
"Native Hawaiian","<","<","<","<","<","<","<","<","<","<","100","0"
"White","29","62","91","9","30","65","95","5","32","61","93","7"
"Multiple Races","36","55","91","9","35","61","96","4","39","52","91","9"
"Students with Disabilities","8","52","60","40","7","56","63","37","11","57","68","32"
"Students without Disabilities","37","57","94","6","35","61","96","4","35","59","94","6"
"Economically Disadvantaged","14","62","76","24","15","64","79","21","15","60","75","25"
"Not Economically Disadvantaged","39","56","95","5","36","60","96","4","37","59","96","4"
"English Learners","10","17","28","72","2","31","33","67","-","33","33","67"
"Homeless","<","<","<","<","<","<","<","<","<","<","100","0"
"Military Connected","8","83","92","8","17","78","96","4","30","63","93","7"
"Grade 7 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","35","57","92","8","32","60","92","8","34","57","91","9"
"Female","36","57","93","7","33","61","94","6","37","52","90","10"
"Male","33","57","91","9","30","59","90","10","31","62","92","8"
"Asian","45","51","96","4","36","60","96","4","41","56","98","2"
"Black","15","69","85","15","26","63","89","11","33","58","91","9"
"Hispanic","16","58","74","26","16","59","75","25","10","65","75","25"
"Native Hawaiian","<","<","<","<","","","","","<","<","100","0"
"White","26","65","91","9","33","60","93","7","33","57","90","10"
"Multiple Races","44","56","100","0","33","59","93","7","38","50","88","12"
"Students with Disabilities","6","67","72","28","10","53","63","38","11","55","66","34"
"Students without Disabilities","36","57","93","7","33","61","95","5","37","58","94","6"
"Economically Disadvantaged","15","67","82","18","11","62","73","27","13","61","74","26"
"Not Economically Disadvantaged","38","55","94","6","36","60","96","4","39","56","96","4"
"English Learners","8","25","33","67","4","28","32","68","-","31","31","69"
"Homeless","<","<","<","<","<","<","<","<","<","<","100","0"
"Military Connected","<","<","100","0","30","70","100","0","41","53","94","6"
"Grade 8 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","35","57","92","8","33","61","94","6","31","61","92","8"
"Female","37","56","93","7","34","61","95","5","32","64","96","4"
"Male","33","57","91","9","32","62","93","7","31","59","89","11"
"American Indian","<","<","100","0","<","<","100","0","<","<","100","0"
"Asian","43","56","99","1","42","56","98","2","37","60","97","3"
"Black","20","73","93","7","14","67","81","19","30","57","87","13"
"Hispanic","17","52","69","31","17","60","78","22","12","62","74","26"
"White","32","59","91","9","28","68","96","4","31","64","95","5"
"Multiple Races","27","53","80","20","37","63","100","0","39","54","93","7"
"Students with Disabilities","10","43","53","47","5","59","64","36","10","61","71","29"
"Students without Disabilities","37","58","95","5","35","61","97","3","33","61","94","6"
"Economically Disadvantaged","13","57","70","30","19","66","85","15","18","59","76","24"
"Not Economically Disadvantaged","39","57","96","4","36","60","96","4","34","61","96","4"
"English Learners","12","12","24","76","-","35","35","65","-","36","36","64"
"Homeless","","","","","","","","","<","<","100","0"
"Military Connected","<","<","<","<","8","85","92","8","10","80","90","10"
"Grade 3 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 4 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 5 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 6 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"EOC English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
