"Wed Jan 31 2024 09:59:28 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Science)"
"Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","21","66","87","13","26","63","89","11","29","60","89","11"
"Female","20","65","85","15","25","62","87","13","25","65","90","10"
"Male","22","66","88","13","27","63","90","10","33","56","89","11"
"American Indian","","","","","<","<","100","0","<","<","100","0"
"Asian","29","66","95","5","36","61","96","4","32","63","95","5"
"Black","-","80","80","20","29","48","76","24","30","53","83","17"
"Hispanic","5","58","63","37","11","56","67","33","12","49","60","40"
"White","17","65","82","18","19","68","87","13","33","61","95","5"
"Multiple Races","14","71","86","14","22","70","93","7","25","68","93","7"
"Students with Disabilities","4","36","40","60","5","36","41","59","10","49","59","41"
"Students without Disabilities","22","68","90","10","28","65","93","7","31","61","92","8"
"Economically Disadvantaged","8","49","57","43","7","69","76","24","15","52","67","33"
"Not Economically Disadvantaged","23","69","91","9","30","61","91","9","32","62","94","6"
"English Learners","-","14","14","86","-","15","15","85","3","25","28","72"
"Homeless","","","","","<","<","<","<","<","<","100","0"
"Military Connected","<","<","<","<","15","62","77","23","30","70","100","0"
"Grade 8 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","21","66","87","13","26","63","89","11","29","60","89","11"
"Female","20","65","85","15","25","62","87","13","25","65","90","10"
"Male","22","66","88","13","27","63","90","10","33","56","89","11"
"American Indian","","","","","<","<","100","0","<","<","100","0"
"Asian","29","66","95","5","36","61","96","4","32","63","95","5"
"Black","-","80","80","20","29","48","76","24","30","53","83","17"
"Hispanic","5","58","63","37","11","56","67","33","12","49","60","40"
"White","17","65","82","18","19","68","87","13","33","61","95","5"
"Multiple Races","14","71","86","14","22","70","93","7","25","68","93","7"
"Students with Disabilities","4","36","40","60","5","36","41","59","10","49","59","41"
"Students without Disabilities","22","68","90","10","28","65","93","7","31","61","92","8"
"Economically Disadvantaged","8","49","57","43","7","69","76","24","15","52","67","33"
"Not Economically Disadvantaged","23","69","91","9","30","61","91","9","32","62","94","6"
"English Learners","-","14","14","86","-","15","15","85","3","25","28","72"
"Homeless","","","","","<","<","<","<","<","<","100","0"
"Military Connected","<","<","<","<","15","62","77","23","30","70","100","0"
"Grade 5 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Biology Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Chemistry Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Earth Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
