"Mon Jan 29 2024 11:55:48 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Math)"
"Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","12","54","66","34","21","66","87","13","24","61","84","16"
"Female","13","54","67","33","17","70","88","12","24","60","84","16"
"Male","12","54","66","34","24","63","87","13","23","62","85","15"
"American Indian","","","","","<","<","100","0","<","<","100","0"
"Asian","23","63","86","14","36","58","94","6","40","56","96","4"
"Black","-","46","46","54","7","63","70","30","7","57","63","37"
"Hispanic","4","33","37","63","4","70","74","26","6","59","65","35"
"Native Hawaiian","","","","","<","<","<","<","<","<","<","<"
"White","10","63","73","27","18","72","90","10","17","69","87","13"
"Multiple Races","15","45","60","40","18","67","85","15","26","55","82","18"
"Students with Disabilities","1","54","55","45","5","58","63","37","3","53","56","44"
"Students without Disabilities","14","54","68","32","23","68","91","9","28","63","91","9"
"Economically Disadvantaged","5","39","44","56","4","63","67","33","7","62","69","31"
"Not Economically Disadvantaged","16","60","76","24","25","67","93","7","30","60","90","10"
"English Learners","2","21","22","78","2","58","60","40","2","61","64","36"
"Homeless","","","","","<","<","<","<","<","<","<","<"
"Military Connected","9","36","45","55","13","87","100","0","13","73","87","13"
"Algebra I Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","-","44","45","55","2","73","74","26","4","70","74","26"
"Female","-","46","46","54","1","75","76","24","5","70","75","25"
"Male","1","43","44","56","2","71","73","27","2","71","73","27"
"American Indian","","","","","<","<","100","0","<","<","100","0"
"Asian","-","63","63","37","4","76","80","20","7","79","86","14"
"Black","-","29","29","71","-","53","53","47","-","45","45","55"
"Hispanic","-","27","27","73","1","66","67","33","-","62","62","38"
"Native Hawaiian","","","","","","","","","<","<","<","<"
"White","1","57","58","42","2","79","81","19","5","78","83","17"
"Multiple Races","-","27","27","73","-","82","82","18","9","64","73","27"
"Students with Disabilities","-","54","54","46","1","59","60","40","1","60","61","39"
"Students without Disabilities","1","41","42","58","2","78","80","20","5","76","81","19"
"Economically Disadvantaged","-","33","33","67","-","58","58","42","2","61","64","36"
"Not Economically Disadvantaged","1","53","54","46","3","81","84","16","5","77","82","18"
"English Learners","-","24","24","76","-","57","57","43","3","66","69","31"
"Homeless","","","","","<","<","<","<","<","<","<","<"
"Military Connected","<","<","<","<","<","<","100","0","<","<","<","<"
"Geometry Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","12","77","89","11","17","78","95","5","25","65","89","11"
"Female","10","80","90","10","15","79","93","7","27","62","89","11"
"Male","14","75","89","11","20","77","97","3","23","67","90","10"
"American Indian","","","","","<","<","100","0","<","<","100","0"
"Asian","16","79","95","5","22","75","97","3","32","65","98","2"
"Black","<","<","<","<","5","81","86","14","-","75","75","25"
"Hispanic","7","67","73","27","8","88","96","4","13","53","66","34"
"Native Hawaiian","","","","","<","<","<","<","<","<","100","0"
"White","9","79","88","12","18","78","96","4","23","67","89","11"
"Multiple Races","<","<","100","0","7","79","86","14","26","63","89","11"
"Students with Disabilities","<","<","<","<","-","80","80","20","3","44","47","53"
"Students without Disabilities","13","78","91","9","18","78","95","5","27","67","94","6"
"Economically Disadvantaged","13","63","75","25","7","78","85","15","12","66","78","22"
"Not Economically Disadvantaged","12","80","92","8","19","78","96","4","28","64","93","7"
"English Learners","<","<","<","<","<","<","<","<","-","52","52","48"
"Homeless","","","","","<","<","<","<","<","<","100","0"
"Military Connected","<","<","100","0","<","<","100","0","<","<","100","0"
"Algebra II Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","64","34","98","2","66","32","98","2","66","32","98","2"
"Female","78","17","96","4","59","38","97","3","65","32","97","3"
"Male","53","47","100","0","71","28","99","1","66","33","99","1"
"Asian","68","32","100","0","72","28","100","0","69","31","100","0"
"Black","<","<","100","0","<","<","<","<","<","<","100","0"
"Hispanic","<","<","100","0","<","<","100","0","<","<","100","0"
"White","56","38","94","6","57","38","96","4","59","36","95","5"
"Multiple Races","<","<","100","0","<","<","100","0","<","<","<","<"
"Students with Disabilities","","","","","<","<","100","0","<","<","<","<"
"Students without Disabilities","64","34","98","2","66","32","98","2","67","33","99","1"
"Economically Disadvantaged","<","<","100","0","<","<","<","<","29","50","79","21"
"Not Economically Disadvantaged","67","30","98","2","69","30","99","1","70","30","100","0"
"English Learners","","","","","<","<","100","0","<","<","<","<"
"Military Connected","<","<","100","0","<","<","100","0","<","<","100","0"
"Grade 3 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 4 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 5 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 6 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 7 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 8 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
