"Mon Jan 29 2024 11:56:05 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Science)"
"Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","22","61","83","17","20","67","87","13","23","63","86","14"
"Female","20","67","87","13","17","70","88","12","22","63","85","15"
"Male","23","57","80","20","21","64","86","14","23","62","86","14"
"American Indian","","","","","<","<","100","0","<","<","<","<"
"Asian","28","64","92","8","26","69","95","5","36","59","95","5"
"Black","8","63","71","29","10","66","76","24","4","64","69","31"
"Hispanic","7","48","54","46","4","55","59","41","6","56","62","38"
"Native Hawaiian","","","","","<","<","<","<","<","<","100","0"
"White","22","64","86","14","21","70","91","9","18","69","87","13"
"Multiple Races","24","67","91","9","16","74","90","10","23","75","98","3"
"Students with Disabilities","4","46","49","51","5","51","56","44","5","55","60","40"
"Students without Disabilities","24","63","87","13","21","69","90","10","26","64","90","10"
"Economically Disadvantaged","7","50","57","43","4","55","59","41","5","63","68","32"
"Not Economically Disadvantaged","26","65","90","10","24","71","95","5","29","62","91","9"
"English Learners","-","17","17","83","-","29","29","71","-","38","38","62"
"Homeless","<","<","<","<","<","<","<","<","<","<","<","<"
"Military Connected","14","79","93","7","22","72","94","6","23","69","92","8"
"Foster Care","","","","","<","<","100","0","<","<","100","0"
"Biology Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","23","63","86","14","20","67","87","13","24","63","88","12"
"Female","21","69","90","10","18","71","89","11","24","64","87","13"
"Male","24","59","83","17","22","64","86","14","25","63","88","12"
"American Indian","","","","","<","<","100","0","<","<","<","<"
"Asian","28","64","92","8","27","69","95","5","37","58","95","5"
"Black","9","69","78","22","11","65","76","24","5","68","73","27"
"Hispanic","8","53","61","39","4","58","62","38","6","57","63","37"
"Native Hawaiian","","","","","<","<","<","<","<","<","100","0"
"White","23","65","88","12","22","70","92","8","20","71","91","9"
"Multiple Races","24","67","91","9","17","73","90","10","24","73","97","3"
"Students with Disabilities","5","54","59","41","5","51","56","44","6","55","61","39"
"Students without Disabilities","25","64","89","11","22","69","91","9","27","65","92","8"
"Economically Disadvantaged","7","56","62","38","4","56","60","40","5","66","71","29"
"Not Economically Disadvantaged","27","65","92","8","25","71","95","5","30","63","93","7"
"English Learners","-","20","20","80","-","23","23","77","-","35","35","65"
"Homeless","","","","","<","<","<","<","<","<","<","<"
"Military Connected","17","75","92","8","19","75","94","6","23","69","92","8"
"Foster Care","","","","","<","<","100","0","","","",""
"Chemistry Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","12","47","59","41","14","61","75","25","5","49","54","46"
"Female","<","<","<","<","18","59","76","24","-","50","50","50"
"Male","14","50","64","36","9","64","73","27","8","48","56","44"
"Asian","<","<","<","<","<","<","<","<","-","80","80","20"
"Black","","","","","<","<","<","<","<","<","<","<"
"Hispanic","<","<","<","<","<","<","<","<","9","36","45","55"
"White","<","<","<","<","15","69","85","15","7","40","47","53"
"Multiple Races","","","","","<","<","100","0","<","<","100","0"
"Students with Disabilities","","","","","","","","","<","<","<","<"
"Students without Disabilities","12","47","59","41","14","61","75","25","6","49","54","46"
"Economically Disadvantaged","<","<","<","<","<","<","<","<","-","39","39","61"
"Not Economically Disadvantaged","<","<","<","<","18","64","82","18","10","57","67","33"
"English Learners","<","<","<","<","<","<","<","<","-","44","44","56"
"Homeless","<","<","100","0","","","","","","","",""
"Military Connected","<","<","100","0","<","<","100","0","","","",""
"Earth Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","-","22","22","78","<","<","<","<","-","50","50","50"
"Female","-","10","10","90","<","<","<","<","<","<","<","<"
"Male","-","31","31","69","<","<","<","<","<","<","<","<"
"Asian","<","<","<","<","<","<","100","0","","","",""
"Black","<","<","<","<","<","<","100","0","<","<","<","<"
"Hispanic","-","17","17","83","<","<","<","<","<","<","<","<"
"White","<","<","<","<","<","<","<","<","<","<","<","<"
"Multiple Races","","","","","","","","","<","<","100","0"
"Students with Disabilities","-","17","17","83","<","<","<","<","<","<","<","<"
"Students without Disabilities","<","<","<","<","<","<","<","<","<","<","<","<"
"Economically Disadvantaged","-","14","14","86","<","<","<","<","<","<","<","<"
"Not Economically Disadvantaged","<","<","<","<","<","<","<","<","<","<","<","<"
"English Learners","<","<","<","<","<","<","<","<","<","<","<","<"
"Homeless","<","<","<","<","","","","","","","",""
"Grade 5 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 8 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
