division,elementary_school,percent_degree_type,degree_type,source,,,
FCPS,Brookfield Elementary,68,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Brookfield Elementary,3,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Brookfield Elementary,29,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Brookfield Elementary,0,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar East Elementary,29,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar East Elementary,68,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar East Elementary,0,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar East Elementary,3,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar West Elementary,30,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar West Elementary,69,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar West Elementary,0,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Greenbriar West Elementary,1,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Lees Corner Elementary,20,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Lees Corner Elementary,80,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Lees Corner Elementary,0,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Lees Corner Elementary,0,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Oak Hill Elementary,76,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Oak Hill Elementary,2,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Oak Hill Elementary,21,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Oak Hill Elementary,1,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Poplar Tree Elementary,40,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Poplar Tree Elementary,57,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Poplar Tree Elementary,0,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
,Poplar Tree Elementary,3,Other,https://schoolquality.virginia.gov/download-data,,,
,,,,,,,
,,,,,,Brookfield Total %,100
,,,,,,Greenbriar East Total %,100
,,,,,,Greenbriar West Total %,100
,,,,,,Lees Corner Total %,100
,,,,,,Oak Hill Total %,100
,,,,,,Poplar Tree Total %,100
