division,elementary_school,sol_indicator,Subgroup,Level Code,percent_passing,percent_passing_with_recovery,percent_showing_growth,percent_showing_el_progress_or_proficiency,accreditation_combined_rate,no_proficiency_or_growth,source,middle_school,Indicator,Subgroup,Level Code,percent_passing,percent_passing_with_recovery,percent_showing_growth,percent_showing_el_progress_or_proficiency,accreditation_combined_rate,no_proficiency_or_growth,source
FCPS,Daniels Run Elementary,English,All Students,SCH,68,7,9,4,88,12,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Daniels Run Elementary,Math,All Students,SCH,72,6,10,NULL,88,12,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Daniels Run Elementary,Science,All Students,SCH,72,NULL,NULL,NULL,NULL,NULL,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Eagle View Elementary,English,All Students,SCH,74,5,7,4,91,9,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Eagle View Elementary,Math,All Students,SCH,68,8,13,NULL,89,11,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Eagle View Elementary,Science,All Students,SCH,74,NULL,NULL,NULL,NULL,NULL,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Providence Elementary,English,All Students,SCH,72,7,12,4,94,6,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Providence Elementary,Math,All Students,SCH,78,9,9,NULL,96,4,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Providence Elementary,Science,All Students,SCH,77,NULL,NULL,NULL,NULL,NULL,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Willow Springs Elementary,English,All Students,SCH,90,2,2,1,95,5,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Willow Springs Elementary,Math,All Students,SCH,90,2,3,NULL,94,6, https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Willow Springs Elementary,Science,All Students,SCH,88,NULL,NULL,NULL,NULL,NULL,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Fairfax  Pyramid Average,English,All Students,SCH,76,5,8,3,92,8,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Fairfax  Pyramid Average,Math,All Students,SCH,77,6,9,NULL,92,8,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
FCPS,Fairfax  Pyramid Average,Science,All Students,SCH,78,NULL,NULL,NULL,NULL,NULL,https://schoolquality.virginia.gov/download-data,,,,,,,,,,,
