"Wed Jan 31 2024 09:27:30 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Math)"
"Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","9","58","68","32","17","62","79","21","15","61","77","23"
"Female","9","62","70","30","16","63","79","21","16","61","77","23"
"Male","9","56","65","35","17","62","79","21","15","62","77","23"
"American Indian","<","<","<","<","<","<","<","<","<","<","<","<"
"Asian","18","68","85","15","26","64","90","10","30","57","87","13"
"Black","-","46","46","54","8","56","64","36","6","59","66","34"
"Hispanic","2","40","42","58","6","57","63","37","5","54","60","40"
"Native Hawaiian","<","<","<","<","<","<","100","0","<","<","100","0"
"White","10","66","76","24","19","65","85","15","14","69","83","17"
"Multiple Races","5","69","74","26","18","72","90","10","17","62","79","21"
"Students with Disabilities","10","23","33","67","8","38","45","55","4","38","42","58"
"Students without Disabilities","9","63","72","28","19","67","85","15","17","65","82","18"
"Economically Disadvantaged","3","43","46","54","5","61","66","34","5","57","62","38"
"Not Economically Disadvantaged","12","65","77","23","23","63","86","14","21","63","84","16"
"English Learners","2","12","15","85","1","38","39","61","-","35","35","65"
"Homeless","<","<","<","<","-","27","27","73","-","46","46","54"
"Military Connected","-","59","59","41","21","75","96","4","12","65","77","23"
"Grade 7 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","2","32","34","66","1","58","59","41","1","58","59","41"
"Female","1","30","32","68","2","58","60","40","1","58","59","41"
"Male","2","34","36","64","1","58","59","41","1","57","58","42"
"American Indian","","","","","<","<","<","<","<","<","100","0"
"Asian","3","52","55","45","2","60","63","38","-","67","67","33"
"Black","-","27","27","73","3","42","44","56","3","44","46","54"
"Hispanic","2","13","14","86","1","43","44","56","1","49","50","50"
"Native Hawaiian","<","<","<","<","","","","","<","<","100","0"
"White","2","42","44","56","1","73","74","26","1","67","69","31"
"Multiple Races","<","<","<","<","-","87","87","13","-","63","63","38"
"Students with Disabilities","8","24","32","68","-","40","40","60","2","29","30","70"
"Students without Disabilities","-","35","35","65","2","64","66","34","1","66","67","33"
"Economically Disadvantaged","1","23","24","76","1","51","52","48","1","50","50","50"
"Not Economically Disadvantaged","2","40","42","58","2","63","65","35","1","65","67","33"
"English Learners","4","6","10","90","1","28","29","71","-","28","28","73"
"Homeless","","","","","<","<","<","<","<","<","<","<"
"Military Connected","<","<","<","<","<","<","<","<","<","<","<","<"
"Grade 8 Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","3","52","55","45","9","61","70","30","5","62","67","33"
"Female","3","61","64","36","7","63","70","30","6","66","73","27"
"Male","2","46","48","52","11","59","70","30","5","58","63","37"
"Asian","4","82","86","14","14","73","86","14","5","69","74","26"
"Black","-","28","28","72","7","47","53","47","-","66","66","34"
"Hispanic","2","36","39","61","2","51","53","47","1","43","44","56"
"Native Hawaiian","","","","","","","","","<","<","100","0"
"White","4","59","63","37","11","63","75","25","8","69","77","23"
"Multiple Races","<","<","<","<","17","67","83","17","21","58","79","21"
"Students with Disabilities","3","10","13","87","4","21","25","75","-","34","34","66"
"Students without Disabilities","3","64","67","33","10","69","79","21","7","68","75","25"
"Economically Disadvantaged","-","33","33","67","2","49","50","50","2","51","54","46"
"Not Economically Disadvantaged","4","62","66","34","14","68","81","19","7","68","76","24"
"English Learners","-","18","18","82","-","36","36","64","-","31","31","69"
"Homeless","<","<","<","<","<","<","<","<","<","<","<","<"
"Military Connected","<","<","<","<","<","<","100","0","10","80","90","10"
"Algebra I Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","13","69","82","18","26","72","98","2","27","65","92","8"
"Female","11","75","86","14","27","71","98","2","28","62","90","10"
"Male","14","63","78","22","25","73","99","1","27","67","94","6"
