"Wed Jan 31 2024 09:27:24 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Reading)"
"English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","19","59","79","21","17","64","81","19","16","62","78","22"
"Female","24","58","82","18","19","63","82","18","17","64","80","20"
"Male","16","60","76","24","16","65","80","20","15","61","76","24"
"American Indian","<","<","100","0","<","<","<","<","<","<","<","<"
"Asian","30","61","91","9","24","65","89","11","26","59","85","15"
"Black","-","69","69","31","4","74","79","21","6","71","76","24"
"Hispanic","7","50","57","43","8","57","65","35","5","52","57","43"
"Native Hawaiian","<","<","100","0","<","<","<","<","<","<","100","0"
"White","23","61","84","16","22","63","85","15","19","67","87","13"
"Multiple Races","19","74","93","7","12","75","87","13","14","68","81","19"
"Students with Disabilities","4","40","44","56","8","44","52","48","4","37","41","59"
"Students without Disabilities","22","62","84","16","19","67","86","14","18","66","84","16"
"Economically Disadvantaged","6","49","55","45","4","64","69","31","4","58","62","38"
"Not Economically Disadvantaged","25","63","88","12","23","63","87","13","22","64","87","13"
"English Learners","1","14","16","84","1","32","32","68","-","24","24","76"
"Homeless","<","<","100","0","-","30","30","70","-","50","50","50"
"Military Connected","5","95","100","0","25","71","96","4","19","73","92","8"
"Grade 7 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","17","59","76","24","15","66","80","20","15","63","79","21"
"Female","23","57","80","20","17","64","81","19","16","65","81","19"
"Male","13","60","73","27","13","67","79","21","15","61","76","24"
"American Indian","","","","","<","<","<","<","<","<","100","0"
"Asian","28","63","90","10","19","69","88","12","28","55","83","17"
"Black","-","69","69","31","4","76","80","20","8","66","74","26"
"Hispanic","4","52","56","44","8","53","61","39","4","54","58","42"
"Native Hawaiian","<","<","100","0","","","","","<","<","100","0"
"White","23","56","78","22","18","67","85","15","17","73","90","10"
"Multiple Races","21","71","93","7","13","70","83","17","15","64","79","21"
"Students with Disabilities","6","43","49","51","3","46","49","51","4","38","42","58"
"Students without Disabilities","19","62","81","19","17","69","86","14","17","67","85","15"
"Economically Disadvantaged","6","48","55","45","5","63","68","32","4","56","60","40"
"Not Economically Disadvantaged","22","64","86","14","19","67","86","14","22","67","89","11"
"English Learners","2","19","21","79","1","33","34","66","-","23","23","77"
"Homeless","","","","","<","<","<","<","<","<","<","<"
"Military Connected","7","93","100","0","<","<","<","<","16","74","89","11"
"Grade 8 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","22","60","82","18","20","62","82","18","16","61","78","22"
"Female","25","60","86","14","21","62","83","17","17","62","79","21"
"Male","19","59","78","22","19","63","81","19","16","61","77","23"
"American Indian","<","<","100","0","","","","","<","<","<","<"
"Asian","33","59","91","9","29","61","91","9","24","63","87","13"
"Black","-","68","68","32","4","72","77","23","2","77","79","21"
"Hispanic","12","47","58","42","8","60","68","32","7","50","57","43"
"White","24","66","90","10","26","59","85","15","22","62","83","17"
"Multiple Races","15","77","92","8","10","80","90","10","12","73","85","15"
"Students with Disabilities","-","35","35","65","12","42","54","46","4","37","41","59"
"Students without Disabilities","25","63","88","12","21","66","87","13","18","65","84","16"
"Economically Disadvantaged","6","51","57","43","4","66","70","30","4","60","64","36"
"Not Economically Disadvantaged","27","63","90","10","27","60","88","12","22","62","84","16"
"English Learners","-","4","4","96","-","31","31","69","-","24","24","76"
"Homeless","<","<","100","0","<","<","<","<","<","<","<","<"
"Military Connected","<","<","100","0","38","63","100","0","<","<","100","0"
"Grade 3 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 4 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 5 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 6 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"EOC English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
