"Wed Jan 31 2024 09:27:40 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Science)"
"Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","9","60","69","31","8","59","67","33","10","58","67","33"
"Female","6","62","69","31","7","58","64","36","9","57","66","34"
"Male","11","59","70","30","10","60","70","30","11","58","69","31"
"American Indian","<","<","100","0","","","","","<","<","<","<"
"Asian","20","67","87","13","15","67","82","18","14","65","80","20"
"Black","-","52","52","48","-","53","53","47","6","52","58","42"
"Hispanic","4","37","41","59","3","42","45","55","1","46","47","53"
"White","4","70","73","27","10","64","74","26","14","60","74","26"
"Multiple Races","25","67","92","8","7","77","83","17","8","62","69","31"
"Students with Disabilities","4","14","18","82","6","37","43","57","3","35","38","62"
"Students without Disabilities","10","66","76","24","9","63","71","29","11","61","72","28"
"Economically Disadvantaged","5","37","42","58","1","43","44","56","-","46","46","54"
"Not Economically Disadvantaged","11","68","78","22","12","67","79","21","15","63","78","22"
"English Learners","-","8","8","92","-","10","10","90","-","17","17","83"
"Homeless","<","<","<","<","-","20","20","80","<","<","<","<"
"Military Connected","<","<","<","<","13","67","80","20","<","<","<","<"
"Grade 8 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","9","60","69","31","8","59","67","33","10","58","67","33"
"Female","6","62","69","31","7","58","64","36","9","57","66","34"
"Male","11","59","70","30","10","60","70","30","11","58","69","31"
"American Indian","<","<","100","0","","","","","<","<","<","<"
"Asian","20","67","87","13","15","67","82","18","14","65","80","20"
"Black","-","52","52","48","-","53","53","47","6","52","58","42"
"Hispanic","4","37","41","59","3","42","45","55","1","46","47","53"
"White","4","70","73","27","10","64","74","26","14","60","74","26"
"Multiple Races","25","67","92","8","7","77","83","17","8","62","69","31"
"Students with Disabilities","4","14","18","82","6","37","43","57","3","35","38","62"
"Students without Disabilities","10","66","76","24","9","63","71","29","11","61","72","28"
"Economically Disadvantaged","5","37","42","58","1","43","44","56","-","46","46","54"
"Not Economically Disadvantaged","11","68","78","22","12","67","79","21","15","63","78","22"
"English Learners","-","8","8","92","-","10","10","90","-","17","17","83"
"Homeless","<","<","<","<","-","20","20","80","<","<","<","<"
"Military Connected","<","<","<","<","13","67","80","20","<","<","<","<"
"Grade 5 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Biology Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Chemistry Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Earth Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
