subgroup,pass_percentage,pyramid,subject,middle_school
All Students,77,Fairfax,Math,Johnson
Female,77,Fairfax,Math,Johnson
Male,77,Fairfax,Math,Johnson
American Indian,<,Fairfax,Math,Johnson
Asian,87,Fairfax,Math,Johnson
Black,66,Fairfax,Math,Johnson
Hispanic,60,Fairfax,Math,Johnson
Native Hawaiian,100,Fairfax,Math,Johnson
White,83,Fairfax,Math,Johnson
Multiple Races,79,Fairfax,Math,Johnson
Students with Disabilities,42,Fairfax,Math,Johnson
Students without Disabilities,82,Fairfax,Math,Johnson
Economically Disadvantaged,62,Fairfax,Math,Johnson
Not Economically Disadvantaged,84,Fairfax,Math,Johnson
English Learners,35,Fairfax,Math,Johnson
Homeless,46,Fairfax,Math,Johnson
Military Connected,77,Fairfax,Math,Johnson
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            ",,,,
