"Mon Jan 29 2024 11:53:15 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Math)"
"Mathematics Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","2","38","40","60","12","67","79","21","11","67","78","22"
"Female","1","44","45","55","14","69","82","18","8","71","79","21"
"Male","3","32","35","65","11","65","76","24","13","64","77","23"
"American Indian","","","","","<","<","100","0","<","<","100","0"
"Asian","13","58","71","29","25","68","93","7","18","70","88","12"
"Black","-","21","21","79","1","59","61","39","6","60","66","34"
"Hispanic","-","28","28","72","2","59","61","39","4","64","68","32"
"Native Hawaiian","","","","","","","","","<","<","100","0"
"White","3","51","54","46","14","75","89","11","13","70","83","17"
"Multiple Races","<","<","<","<","18","68","85","15","15","68","83","18"
"Students with Disabilities","-","38","38","62","3","43","46","54","7","64","71","29"
"Students without Disabilities","2","37","40","60","14","70","84","16","11","68","79","21"
"Economically Disadvantaged","-","29","29","71","6","62","67","33","3","66","68","32"
"Not Economically Disadvantaged","5","47","52","48","16","70","86","14","17","68","85","15"
"English Learners","-","26","26","74","1","45","46","54","1","71","72","28"
"Homeless","<","<","<","<","<","<","<","<","<","<","<","<"
"Military Connected","-","50","50","50","6","71","76","24","24","68","92","8"
"Algebra I Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","-","35","35","65","-","59","60","40","3","79","82","18"
"Female","-","38","38","62","-","66","66","34","4","78","82","18"
"Male","-","33","33","67","1","54","55","45","2","80","81","19"
"American Indian","","","","","<","<","100","0","","","",""
"Asian","-","82","82","18","-","67","67","33","12","82","94","6"
"Black","-","20","20","80","-","51","51","49","-","76","76","24"
"Hispanic","-","28","28","73","-","47","47","53","-","78","78","22"
"White","-","45","45","55","2","81","83","17","4","80","84","16"
"Multiple Races","<","<","<","<","-","64","64","36","-","77","77","23"
