"Mon Jan 29 2024 11:41:27 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Reading)"
"English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","18","60","78","22","36","54","91","9","33","56","90","10"
"Female","18","62","80","20","40","52","92","8","30","60","90","10"
"Male","18","58","76","24","33","56","90","10","36","53","89","11"
"American Indian","<","<","<","<","<","<","100","0","<","<","100","0"
"Asian","29","57","86","14","47","49","96","4","44","47","92","8"
"Black","14","55","68","32","22","62","84","16","11","74","84","16"
"Hispanic","8","63","71","29","21","57","78","22","17","63","79","21"
"White","28","56","84","16","40","56","96","4","44","52","96","4"
"Multiple Races","<","<","100","0","51","46","97","3","39","58","97","3"
"Students with Disabilities","5","40","45","55","13","60","73","27","11","57","68","32"
"Students without Disabilities","21","65","86","14","40","54","93","7","36","56","92","8"
"Economically Disadvantaged","6","61","68","32","19","58","77","23","15","63","78","22"
"Not Economically Disadvantaged","24","59","84","16","43","53","96","4","43","53","96","4"
"English Learners","-","22","22","78","-","27","27","73","-","35","35","65"
"Homeless","<","<","<","<","<","<","<","<","<","<","100","0"
"Military Connected","<","<","100","0","43","52","96","4","50","44","94","6"
"Foster Care","","","","","","","","","<","<","100","0"
"EOC English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","18","60","78","22","36","54","91","9","33","56","90","10"
"Female","18","62","80","20","40","52","92","8","30","60","90","10"
"Male","18","58","76","24","33","56","90","10","36","53","89","11"
"American Indian","<","<","<","<","<","<","100","0","<","<","100","0"
"Asian","29","57","86","14","47","49","96","4","44","47","92","8"
"Black","14","55","68","32","22","62","84","16","11","74","84","16"
"Hispanic","8","63","71","29","21","57","78","22","17","63","79","21"
"White","28","56","84","16","40","56","96","4","44","52","96","4"
"Multiple Races","<","<","100","0","51","46","97","3","39","58","97","3"
"Students with Disabilities","5","40","45","55","13","60","73","27","11","57","68","32"
"Students without Disabilities","21","65","86","14","40","54","93","7","36","56","92","8"
"Economically Disadvantaged","6","61","68","32","19","58","77","23","15","63","78","22"
"Not Economically Disadvantaged","24","59","84","16","43","53","96","4","43","53","96","4"
"English Learners","-","22","22","78","-","27","27","73","-","35","35","65"
"Homeless","<","<","<","<","<","<","<","<","<","<","100","0"
"Military Connected","<","<","100","0","43","52","96","4","50","44","94","6"
"Foster Care","","","","","","","","","<","<","100","0"
"Grade 3 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 4 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 5 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 6 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 7 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 8 English Reading Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
