"Mon Jan 29 2024 11:53:48 GMT-0500 (Eastern Standard Time)"
"Student Achievement by Proficiency Level (Science)"
"Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","7","59","67","33","15","64","79","21","12","68","79","21"
"Female","7","64","70","30","13","65","78","22","9","72","82","18"
"Male","8","56","63","37","16","63","80","20","13","64","77","23"
"Asian","13","68","81","19","26","61","87","13","14","71","86","14"
"Black","-","52","52","48","4","61","65","35","5","60","65","35"
"Hispanic","1","42","43","57","3","57","60","40","4","60","64","36"
"Native Hawaiian","","","","","","","","","<","<","<","<"
"White","8","68","77","23","18","73","90","10","17","73","90","10"
"Multiple Races","16","65","81","19","26","60","86","14","16","76","92","8"
"Students with Disabilities","3","20","23","77","6","42","48","52","9","43","52","48"
"Students without Disabilities","8","64","72","28","16","67","83","17","12","72","84","16"
"Economically Disadvantaged","1","38","39","61","5","59","63","37","3","62","65","35"
"Not Economically Disadvantaged","11","71","81","19","21","67","88","12","17","72","89","11"
"English Learners","-","9","9","91","-","27","27","73","-","49","49","51"
"Homeless","<","<","<","<","<","<","<","<","<","<","<","<"
"Military Connected","19","65","85","15","23","77","100","0","23","77","100","0"
"Biology Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","8","61","68","32","16","66","81","19","13","72","85","15"
"Female","7","64","71","29","14","67","81","19","10","77","87","13"
"Male","8","58","66","34","17","65","82","18","15","68","83","17"
"Asian","13","68","81","19","27","62","89","11","17","77","94","6"
"Black","-","54","54","46","5","61","66","34","7","66","73","27"
"Hispanic","1","43","44","56","4","59","63","37","4","63","68","32"
"Native Hawaiian","","","","","","","","","<","<","<","<"
"White","9","70","79","21","19","75","93","7","18","75","93","7"
"Multiple Races","17","67","83","17","25","66","91","9","15","79","94","6"
"Students with Disabilities","3","22","25","75","5","43","48","52","12","48","60","40"
"Students without Disabilities","8","65","73","27","17","69","85","15","13","75","88","12"
"Economically Disadvantaged","1","41","42","58","4","62","66","34","3","69","72","28"
"Not Economically Disadvantaged","11","71","82","18","22","68","90","10","19","73","92","8"
"English Learners","-","8","8","92","-","28","28","72","-","52","52","48"
"Homeless","<","<","<","<","<","<","<","<","<","<","<","<"
"Military Connected","22","65","87","13","23","77","100","0","26","74","100","0"
"Chemistry Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","6","47","53","47","3","41","45","55","3","45","48","52"
"Female","<","<","<","<","-","31","31","69","3","47","50","50"
"Male","-","36","36","64","6","50","56","44","3","43","47","53"
"Asian","<","<","<","<","<","<","<","<","-","36","36","64"
"Black","<","<","<","<","<","<","<","<","-","54","54","46"
"Hispanic","<","<","<","<","<","<","<","<","-","45","45","55"
"White","<","<","<","<","8","58","67","33","9","45","55","45"
"Multiple Races","<","<","<","<","<","<","<","<","<","<","<","<"
"Students with Disabilities","<","<","<","<","<","<","100","0","-","36","36","64"
"Students without Disabilities","7","53","60","40","4","39","43","57","4","47","51","49"
"Economically Disadvantaged","<","<","<","<","<","<","<","<","3","38","40","60"
"Not Economically Disadvantaged","8","58","67","33","5","52","57","43","4","58","63","38"
"English Learners","<","<","<","<","<","<","<","<","-","40","40","60"
"Homeless","","","","","<","<","<","<","","","",""
"Military Connected","<","<","<","<","","","","","<","<","100","0"
"Earth Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"All Students","-","15","15","85","-","40","40","60","5","41","45","55"
"Female","<","<","<","<","<","<","<","<","<","<","<","<"
"Male","<","<","<","<","<","<","<","<","-","38","38","62"
"Asian","<","<","<","<","","","","","<","<","<","<"
"Black","<","<","<","<","<","<","<","<","<","<","<","<"
"Hispanic","<","<","<","<","<","<","<","<","<","<","<","<"
"White","<","<","<","<","<","<","<","<","<","<","<","<"
"Students with Disabilities","<","<","<","<","<","<","<","<","<","<","<","<"
"Students without Disabilities","<","<","<","<","<","<","<","<","7","53","60","40"
"Economically Disadvantaged","<","<","<","<","<","<","<","<","-","33","33","67"
"Not Economically Disadvantaged","<","<","<","<","<","<","<","<","10","50","60","40"
"English Learners","<","<","<","<","<","<","<","<","<","<","<","<"
"Homeless","","","","","<","<","<","<","","","",""
"Military Connected","","","","","","","","","<","<","100","0"
"Grade 5 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"Grade 8 Science Performance","2020-2021","2021-2022","2022-2023"
"Student Subgroup","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed","Advanced","Proficient","Passed","Failed"
"
                              < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                            "
