division,pyramid,elementary_school,ethnicity,pop_num,pop_percentage,source
FCPS,Fairfax,Willow Springs,Asian,299,33.22,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:424,0"
FCPS,Fairfax,Willow Springs,Black (Not Of Hispanic Origin),48,5.33,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:424,1"
FCPS,Fairfax,Willow Springs,Hispanic Or Latino,68,7.56,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:424,2"
FCPS,Fairfax,Willow Springs,White (Not Of Hispanic Origin),414,46,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:424,3"
FCPS,Fairfax,Willow Springs,Other,71,7.89,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:424,4"
FCPS,Fairfax,Providence,Asian,126,14.67,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:396,0"
FCPS,Fairfax,Providence,Black (Not Of Hispanic Origin),51,5.94,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:396,1"
FCPS,Fairfax,Providence,Hispanic Or Latino,324,37.72,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:396,2"
FCPS,Fairfax,Providence,White (Not Of Hispanic Origin),282,32.83,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:396,3"
FCPS,Fairfax,Providence,Other,76,8.85,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:396,4"
FCPS,Fairfax,Eagle View,Asian,150,23.58,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:136,0"
FCPS,Fairfax,Eagle View,Black (Not Of Hispanic Origin),100,15.72,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:136,1"
FCPS,Fairfax,Eagle View,Hispanic Or Latino,92,14.47,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:136,2"
FCPS,Fairfax,Eagle View,White (Not Of Hispanic Origin),246,38.68,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:136,3"
FCPS,Fairfax,Eagle View,Other,48,7.55,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:136,4"
FCPS,Fairfax,Daniels Run,Asian,93,11.5,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:397,0"
FCPS,Fairfax,Daniels Run,Black (Not Of Hispanic Origin),35,4.33,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:397,1"
FCPS,Fairfax,Daniels Run,Hispanic Or Latino,277,34.24,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:397,2"
FCPS,Fairfax,Daniels Run,White (Not Of Hispanic Origin),350,43.26,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:397,3"
FCPS,Fairfax,Daniels Run,Other,54,6.67,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:397,0"
