division,elementary_school,percent_degree_type,degree_type,source,,,
FCPS,Daniels Run Elementary,1,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Daniels Run Elementary,22,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Daniels Run Elementary,77,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Daniels Run Elementary,NULL,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Eagle View Elementary,2,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Eagle View Elementary,22,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Eagle View Elementary,74,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Eagle View Elementary,2,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Providence Elementary,0,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Providence Elementary,20,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Providence Elementary,80,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Providence Elementary,NULL,Other,https://schoolquality.virginia.gov/download-data,,,
FCPS,Willow Springs Elementary,19,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Willow Springs Elementary,77,Master's Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Willow Springs Elementary,4,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,
FCPS,Willow Springs Elementary,NULL,Other,https://schoolquality.virginia.gov/download-data,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,Daniels Total %,100
,,,,,,EV Total %,100
,,,,,,Providence %,100
,,,,,,WS %,100
