elementary_school,ethnicity,pop_percentage
Fairfax Pyramid Average,Asian,20.7
Fairfax Pyramid Average,Black (Not Of Hispanic Origin),7.8
Fairfax Pyramid Average,Hispanic Or Latino,23.5
Fairfax Pyramid Average,Other,7.7
Fairfax Pyramid Average,White (Not Of Hispanic Origin),38.3
Chantilly Pyramid Average,Asian,33.48333333
Chantilly Pyramid Average,Black (Not Of Hispanic Origin),6.283333333
Chantilly Pyramid Average,Hispanic Or Latino,18.91666667
Chantilly Pyramid Average,Other,6.283333333
Chantilly Pyramid Average,White (Not Of Hispanic Origin),35.08333333
