subgroup,pass_percentage,pyramid,subject,middle_school
All Students,77,Fairfax,Math,Johnson (Fairfax Pyramid)
Female,77,Fairfax,Math,Johnson (Fairfax Pyramid)
Male,77,Fairfax,Math,Johnson (Fairfax Pyramid)
Asian,87,Fairfax,Math,Johnson (Fairfax Pyramid)
Black,66,Fairfax,Math,Johnson (Fairfax Pyramid)
Hispanic,60,Fairfax,Math,Johnson (Fairfax Pyramid)
Native Hawaiian,100,Fairfax,Math,Johnson (Fairfax Pyramid)
White,83,Fairfax,Math,Johnson (Fairfax Pyramid)
Multiple Races,79,Fairfax,Math,Johnson (Fairfax Pyramid)
Students with Disabilities,42,Fairfax,Math,Johnson (Fairfax Pyramid)
Students without Disabilities,82,Fairfax,Math,Johnson (Fairfax Pyramid)
Economically Disadvantaged,62,Fairfax,Math,Johnson (Fairfax Pyramid)
Not Economically Disadvantaged,84,Fairfax,Math,Johnson (Fairfax Pyramid)
English Learners,35,Fairfax,Math,Johnson (Fairfax Pyramid)
Homeless,46,Fairfax,Math,Johnson (Fairfax Pyramid)
Military Connected,77,Fairfax,Math,Johnson (Fairfax Pyramid)
All Students,67,Fairfax,Science,Johnson (Fairfax Pyramid)
Female,66,Fairfax,Science,Johnson (Fairfax Pyramid)
Male,69,Fairfax,Science,Johnson (Fairfax Pyramid)
Asian,80,Fairfax,Science,Johnson (Fairfax Pyramid)
Black,58,Fairfax,Science,Johnson (Fairfax Pyramid)
Hispanic,47,Fairfax,Science,Johnson (Fairfax Pyramid)
White,74,Fairfax,Science,Johnson (Fairfax Pyramid)
Multiple Races,69,Fairfax,Science,Johnson (Fairfax Pyramid)
Students with Disabilities,38,Fairfax,Science,Johnson (Fairfax Pyramid)
Students without Disabilities,72,Fairfax,Science,Johnson (Fairfax Pyramid)
Economically Disadvantaged,46,Fairfax,Science,Johnson (Fairfax Pyramid)
Not Economically Disadvantaged,78,Fairfax,Science,Johnson (Fairfax Pyramid)
English Learners,17,Fairfax,Science,Johnson (Fairfax Pyramid)
All Students,78,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Female,80,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Male,76,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Asian,85,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Black,76,Fairfax,English Reading,Johnson (Fairfax Pyramid)
