high_school,pyramid,subject,subgroup,pass_percentage
Fairfax,Fairfax,Science,All Students,79
Fairfax,Fairfax,Science,Female,82
Fairfax,Fairfax,Science,Male,77
Fairfax,Fairfax,Science,Asian,86
Fairfax,Fairfax,Science,Black,65
Fairfax,Fairfax,Science,Hispanic,64
Fairfax,Fairfax,Science,White,90
Fairfax,Fairfax,Science,Multiple Races,92
Fairfax,Fairfax,English Reading,All Students,90
Fairfax,Fairfax,English Reading,Female,90
Fairfax,Fairfax,English Reading,Male,89
Fairfax,Fairfax,English Reading,American Indian,100
Fairfax,Fairfax,English Reading,Asian,92
Fairfax,Fairfax,English Reading,Black,84
Fairfax,Fairfax,English Reading,Hispanic,79
Fairfax,Fairfax,English Reading,White,96
Fairfax,Fairfax,English Reading,Multiple Races,97
Fairfax,Fairfax,English Reading,Students with Disabilities,68
Fairfax,Fairfax,English Reading,Students without Disabilities,92
Farifax,Fairfax,Math,All Students,78
Farifax,Fairfax,Math,Female,79
Farifax,Fairfax,Math,Male,77
Farifax,Fairfax,Math,Asian,88
Farifax,Fairfax,Math,Black,66
Farifax,Fairfax,Math,Hispanic,68
Farifax,Fairfax,Math,White,83
Farifax,Fairfax,Math,Multiple Races,83
Chantilly,Chantilly,Science,All Students,86
Chantilly,Chantilly,Science,Female,85
Chantilly,Chantilly,Science,Male,86
Chantilly,Chantilly,Science,Asian,95
Chantilly,Chantilly,Science,Black,69
Chantilly,Chantilly,Science,Hispanic,62
Chantilly,Chantilly,Science,White,87
Chantilly,Chantilly,Science,Multiple Races,98
Chantilly,Chantilly,English Reading,All Students,92
Chantilly,Chantilly,English Reading,Female,95
Chantilly,Chantilly,English Reading,Male,91
Chantilly,Chantilly,English Reading,Asian,98
Chantilly,Chantilly,English Reading,Black,85
Chantilly,Chantilly,English Reading,Hispanic,75
Chantilly,Chantilly,English Reading,White,94
Chantilly,Chantilly,English Reading,Multiple Races,100
Chantilly,Chantilly,Math,All Students,84
Chantilly,Chantilly,Math,Female,84
Chantilly,Chantilly,Math,Male,85
Chantilly,Chantilly,Math,Asian,96
Chantilly,Chantilly,Math,Black,63
Chantilly,Chantilly,Math,Hispanic,65
Chantilly,Chantilly,Math,White,87
Chantilly,Chantilly,Math,Multiple Races,82
