census_tract,census_block_group,census_block,census_year,total_pop,hispanic_latino_pop,hispanic_latino_pop_percentage,white_pop,white_pop_percentage,black_or_african_american_pop,black_or_african_american_pop_percentage,american_indian_alaska_native_pop,american_indian_alaska_native_pop_percentage,asian_overall_pop,asian_overall_pop_percentage,native_hawaiian_pacific_islander_pop,native_hawaiian_pacific_islander_pop_percentage,some_other_race_pop,some_other_race_pop_percentage,two_or_more_races_pop,two_or_more_races_pop_percentage
440504,1,1000,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
440504,1,1001,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
440504,1,1002,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
440504,1,1003,2020,643,109,17%,227,35%,267,42%,1,0%,27,4%,0,0%,1,0%,11,2%
440504,1,1004,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
461902,1,1000,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
461902,1,1001,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
461902,1,1002,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
461902,1,1003,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
461902,1,1004,2020,613,241,39%,127,21%,60,10%,0,0%,170,28%,0,0%,1,0%,14,2%
461902,1,1005,2020,102,32,31%,13,13%,13,13%,0,0%,26,25%,0,0%,3,3%,15,15%
461902,1,1006,2020,97,23,24%,30,31%,6,6%,0,0%,34,35%,1,1%,1,1%,2,2%
461902,1,1007,2020,"1,027",554,54%,161,16%,140,14%,1,0%,145,14%,0,0%,11,1%,15,1%
491202,1,1000,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
491202,1,1001,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
491202,1,1002,2020,420,127,30%,175,42%,38,9%,1,0%,67,16%,0,0%,0,0%,12,3%
491202,1,1003,2020,152,42,28%,57,38%,14,9%,0,0%,29,19%,0,0%,2,1%,8,5%
491202,1,1004,2020,431,45,10%,192,45%,52,12%,0,0%,128,30%,0,0%,3,1%,11,3%
491202,1,1005,2020,386,122,32%,110,28%,38,10%,0,0%,105,27%,0,0%,6,2%,5,1%
491202,1,1006,2020,83,27,33%,33,40%,7,8%,0,0%,13,16%,0,0%,1,1%,2,2%
491202,1,1007,2020,38,16,42%,8,21%,0,0%,0,0%,1,3%,0,0%,0,0%,13,34%
491202,1,1008,2020,120,50,42%,48,40%,11,9%,2,2%,6,5%,0,0%,0,0%,3,3%
491202,1,1009,2020,267,62,23%,110,41%,43,16%,0,0%,37,14%,0,0%,0,0%,15,6%
491202,1,1010,2020,205,52,25%,71,35%,18,9%,0,0%,50,24%,0,0%,0,0%,14,7%
491202,1,1011,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
491202,1,1012,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
491501,1,1000,2020,0,0,null,0,null,0,null,0,null,0,null,0,null,0,null,0,null
491501,1,1001,2020,771,52,7%,223,29%,89,12%,0,0%,366,47%,2,0%,5,1%,34,4%
491501,1,1002,2020,52,3,6%,9,17%,14,27%,0,0%,20,38%,0,0%,0,0%,6,12%
