census_year,census_block_total_population,hispanic_latino_pop,hispanic%,hispanic_group_AVG%,white_pop,white%,white_group_AVG%,black_or_african_american_pop,black%,black_group_AVG%,american_indian_alaska_native_pop,amerindian%,amerindian_group_AVG%,asian_overall_pop,asian%,asian_group_AVERAGE%,native_hawaiian_pacific_islander_pop,nativehawaiipi%,nativehawaiipi_group_AVERAGE%,some_other_race_pop,other%,other_group_AVG%,two_or_more_races_pop,two_or_more%,two_or_more_group_AVERAGE%,state,county,census_tract,census_tract_name,census_block_group,census_block__group_name,census_block,census_block_name,tract_group,tract_group_block,latitude,longitude,geoid,source
2020,2,1,50%,9%,,0%,69%,,0%,1%,1,50%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2019,Census Block 2019,492500/2,Census Tract 492500/Block Group 2/Census Block 2019,38.7824385,-77.3781677,5.16E+13,U.S. Census
2020,3,,0%,9%,2,67%,69%,,0%,1%,,0%,0.90%,1,33%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1007,Census Block 1007,492500/1,Census Tract 492500/Block Group 1/Census Block 1007,38.8197056,-77.402806,5.16E+13,U.S. Census
2020,3,,0%,9%,3,100%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2020,Census Block 2020,492500/2,Census Tract 492500/Block Group 2/Census Block 2020,38.7814611,-77.3849661,5.16E+13,U.S. Census
2020,3,,0%,9%,1,33%,69%,,0%,1%,,0%,0.90%,1,33%,12%,,0%,0.30%,,0%,0.70%,1,33%,7%,51,59,492500,Census Tract 492500,2,2,2054,Census Block 2054,492500/2,Census Tract 492500/Block Group 2/Census Block 2054,38.7467794,-77.3858543,5.16E+13,U.S. Census
2020,4,,0%,9%,3,75%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,1,25%,7%,51,59,492500,Census Tract 492500,2,2,2042,Census Block 2042,492500/2,Census Tract 492500/Block Group 2/Census Block 2042,38.7771323,-77.3854533,5.16E+13,U.S. Census
2020,5,,0%,9%,5,100%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2025,Census Block 2025,492500/2,Census Tract 492500/Block Group 2/Census Block 2025,38.7808357,-77.3890206,5.16E+13,U.S. Census
2020,6,3,50%,9%,1,17%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,2,33%,7%,51,59,492500,Census Tract 492500,2,2,2046,Census Block 2046,492500/2,Census Tract 492500/Block Group 2/Census Block 2046,38.7745777,-77.3868961,5.16E+13,U.S. Census
2020,6,1,17%,9%,3,50%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,2,33%,7%,51,59,492500,Census Tract 492500,2,2,2047,Census Block 2047,492500/2,Census Tract 492500/Block Group 2/Census Block 2047,38.7769419,-77.3942636,5.16E+13,U.S. Census
2020,7,2,29%,10%,2,29%,59%,,0%,5%,,0%,0.20%,1,14%,14%,,0%,0.10%,,0%,1.50%,2,29%,10%,51,59,492000,Census Tract 492000,2,2,2003,Census Block 2003,492000/2,Census Tract 492000/Block Group 2/Census Block 2003,38.8154732,-77.3531437,5.16E+13,U.S. Census
2020,7,,0%,9%,2,29%,69%,,0%,1%,,0%,0.90%,5,71%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1024,Census Block 1024,492500/1,Census Tract 492500/Block Group 1/Census Block 1024,38.797419,-77.3917354,5.16E+13,U.S. Census
2020,7,2,29%,9%,5,71%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2027,Census Block 2027,492500/2,Census Tract 492500/Block Group 2/Census Block 2027,38.7801357,-77.3859545,5.16E+13,U.S. Census
2020,8,2,25%,9%,2,25%,69%,,0%,1%,1,13%,0.90%,3,38%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1046,Census Block 1046,492500/1,Census Tract 492500/Block Group 1/Census Block 1046,38.7896919,-77.3797092,5.16E+13,U.S. Census
2020,8,,0%,9%,8,100%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2008,Census Block 2008,492500/2,Census Tract 492500/Block Group 2/Census Block 2008,38.7827442,-77.3888529,5.16E+13,U.S. Census
2020,9,,0%,10%,4,44%,59%,2,22%,5%,,0%,0.20%,2,22%,14%,,0%,0.10%,,0%,1.50%,1,11%,10%,51,59,492000,Census Tract 492000,3,3,3021,Census Block 3021,492000/3,Census Tract 492000/Block Group 3/Census Block 3021,38.7854861,-77.364941,5.16E+13,U.S. Census
2020,9,,0%,9%,9,100%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2003,Census Block 2003,492500/2,Census Tract 492500/Block Group 2/Census Block 2003,38.781168,-77.3914397,5.16E+13,U.S. Census
2020,9,2,22%,9%,4,44%,69%,,0%,1%,,0%,0.90%,1,11%,12%,,0%,0.30%,,0%,0.70%,2,22%,7%,51,59,492500,Census Tract 492500,2,2,2014,Census Block 2014,492500/2,Census Tract 492500/Block Group 2/Census Block 2014,38.7861168,-77.4084405,5.16E+13,U.S. Census
2020,9,,0%,9%,2,22%,69%,,0%,1%,,0%,0.90%,1,11%,12%,,0%,0.30%,,0%,0.70%,6,67%,7%,51,59,492500,Census Tract 492500,2,2,2052,Census Block 2052,492500/2,Census Tract 492500/Block Group 2/Census Block 2052,38.7730482,-77.3920269,5.16E+13,U.S. Census
2020,10,,0%,10%,7,70%,59%,,0%,5%,,0%,0.20%,2,20%,14%,,0%,0.10%,,0%,1.50%,1,10%,10%,51,59,492000,Census Tract 492000,2,2,2004,Census Block 2004,492000/2,Census Tract 492000/Block Group 2/Census Block 2004,38.8102675,-77.3535756,5.16E+13,U.S. Census
2020,11,2,18%,9%,8,73%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,1,9%,7%,51,59,492500,Census Tract 492500,1,1,1004,Census Block 1004,492500/1,Census Tract 492500/Block Group 1/Census Block 1004,38.802477,-77.400393,5.16E+13,U.S. Census
2020,11,1,9%,9%,4,36%,69%,,0%,1%,,0%,0.90%,5,45%,12%,,0%,0.30%,,0%,0.70%,1,9%,7%,51,59,492500,Census Tract 492500,1,1,1020,Census Block 1020,492500/1,Census Tract 492500/Block Group 1/Census Block 1020,38.806726,-77.4477957,5.16E+13,U.S. Census
2020,12,2,17%,9%,3,25%,21%,3,25%,7%,,0%,0.20%,2,17%,57%,,0%,0.20%,,0%,0.60%,2,17%,6%,51,59,491501,Census Tract 491501,3,3,3008,Census Block 3008,491501/3,Census Tract 491501/Block Group 3/Census Block 3008,38.8460044,-77.4069141,5.16E+13,U.S. Census
2020,12,6,50%,15%,1,8%,40%,,0%,9%,,0%,0.00%,3,25%,24%,1,8%,0.70%,1,8%,1.80%,,0%,9%,51,59,491801,Census Tract 491801,1,1,1004,Census Block 1004,491801/1,Census Tract 491801/Block Group 1/Census Block 1004,38.8557191,-77.3944371,5.16E+13,U.S. Census
2020,12,1,8%,10%,5,42%,59%,2,17%,5%,1,8%,0.20%,1,8%,14%,,0%,0.10%,,0%,1.50%,2,17%,10%,51,59,492000,Census Tract 492000,2,2,2018,Census Block 2018,492000/2,Census Tract 492000/Block Group 2/Census Block 2018,38.8138871,-77.3640258,5.16E+13,U.S. Census
2020,12,1,8%,9%,9,75%,69%,,0%,1%,,0%,0.90%,1,8%,12%,,0%,0.30%,,0%,0.70%,1,8%,7%,51,59,492500,Census Tract 492500,2,2,2034,Census Block 2034,492500/2,Census Tract 492500/Block Group 2/Census Block 2034,38.7617236,-77.3703617,5.16E+13,U.S. Census
2020,12,2,17%,9%,7,58%,69%,,0%,1%,,0%,0.90%,1,8%,12%,,0%,0.30%,,0%,0.70%,2,17%,7%,51,59,492500,Census Tract 492500,2,2,2037,Census Block 2037,492500/2,Census Tract 492500/Block Group 2/Census Block 2037,38.769481,-77.3774274,5.16E+13,U.S. Census
2020,13,5,38%,10%,4,31%,59%,,0%,5%,,0%,0.20%,3,23%,14%,,0%,0.10%,,0%,1.50%,1,8%,10%,51,59,492000,Census Tract 492000,3,3,3023,Census Block 3023,492000/3,Census Tract 492000/Block Group 3/Census Block 3023,38.7814605,-77.372014,5.16E+13,U.S. Census
2020,13,2,15%,9%,8,62%,69%,,0%,1%,,0%,0.90%,1,8%,12%,,0%,0.30%,,0%,0.70%,2,15%,7%,51,59,492500,Census Tract 492500,1,1,1036,Census Block 1036,492500/1,Census Tract 492500/Block Group 1/Census Block 1036,38.8011495,-77.3704794,5.16E+13,U.S. Census
2020,13,,0%,9%,12,92%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,1,8%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2026,Census Block 2026,492500/2,Census Tract 492500/Block Group 2/Census Block 2026,38.7795783,-77.3889221,5.16E+13,U.S. Census
2020,13,,0%,9%,4,31%,69%,,0%,1%,,0%,0.90%,9,69%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2056,Census Block 2056,492500/2,Census Tract 492500/Block Group 2/Census Block 2056,38.7705763,-77.3825721,5.16E+13,U.S. Census
2020,13,1,8%,9%,12,92%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2062,Census Block 2062,492500/2,Census Tract 492500/Block Group 2/Census Block 2062,38.7370887,-77.3667789,5.16E+13,U.S. Census
2020,14,2,14%,9%,3,21%,21%,,0%,7%,,0%,0.20%,7,50%,57%,,0%,0.20%,,0%,0.60%,2,14%,6%,51,59,491501,Census Tract 491501,1,1,1017,Census Block 1017,491501/1,Census Tract 491501/Block Group 1/Census Block 1017,38.8398939,-77.4131142,5.16E+13,U.S. Census
2020,14,3,21%,9%,8,57%,69%,,0%,1%,,0%,0.90%,2,14%,12%,,0%,0.30%,,0%,0.70%,1,7%,7%,51,59,492500,Census Tract 492500,1,1,1002,Census Block 1002,492500/1,Census Tract 492500/Block Group 1/Census Block 1002,38.8278757,-77.3971837,5.16E+13,U.S. Census
2020,15,1,7%,11%,,0%,54%,,0%,4%,,0%,0.10%,9,60%,23%,1,7%,0.20%,1,7%,0.80%,3,20%,7%,51,59,491803,Census Tract 491803,3,3,3007,Census Block 3007,491803/3,Census Tract 491803/Block Group 3/Census Block 3007,38.8729252,-77.3852387,5.16E+13,U.S. Census
2020,15,3,20%,10%,5,33%,59%,,0%,5%,,0%,0.20%,6,40%,14%,,0%,0.10%,,0%,1.50%,1,7%,10%,51,59,492000,Census Tract 492000,2,2,2026,Census Block 2026,492000/2,Census Tract 492000/Block Group 2/Census Block 2026,38.8007515,-77.3294187,5.16E+13,U.S. Census
2020,15,3,20%,9%,4,27%,69%,,0%,1%,,0%,0.90%,4,27%,12%,,0%,0.30%,1,7%,0.70%,3,20%,7%,51,59,492500,Census Tract 492500,1,1,1001,Census Block 1001,492500/1,Census Tract 492500/Block Group 1/Census Block 1001,38.8118889,-77.3964174,5.16E+13,U.S. Census
2020,15,,0%,9%,7,47%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,8,53%,7%,51,59,492500,Census Tract 492500,1,1,1005,Census Block 1005,492500/1,Census Tract 492500/Block Group 1/Census Block 1005,38.812797,-77.4060759,5.16E+13,U.S. Census
2020,15,,0%,9%,5,33%,69%,,0%,1%,,0%,0.90%,9,60%,12%,,0%,0.30%,,0%,0.70%,1,7%,7%,51,59,492500,Census Tract 492500,1,1,1026,Census Block 1026,492500/1,Census Tract 492500/Block Group 1/Census Block 1026,38.8081492,-77.3797014,5.16E+13,U.S. Census
2020,15,1,7%,9%,14,93%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1040,Census Block 1040,492500/1,Census Tract 492500/Block Group 1/Census Block 1040,38.7990304,-77.376763,5.16E+13,U.S. Census
